claim,evidence,evidence_url,url_status,evidence_domain,reasoning,nli_label,original_credibility,article_source
سعيّد خارج الحسابات السياسية المفتعلة وثابت على المبادئ.,وتناول اللقاء جملة من القضايا المتصّلة بالوضع العام في تونس والأزمة المستمرّة منذ سنة 2011 إلى اليوم حيث أكّد رئيس الدولة، في هذا الإطار، على أن الأمر عنده لا يتعلّق بوساطات أو بوسطاء أو بحلول وسطى تر,local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_18
تعتزم مؤسسة الدوحة تنظيم نسخة رقمية من ملتقى قمرة السينمائي خلال الفترة من 12 إلى 17 مارس المقبل.,أعلنت «مؤسسة الدوحة للأفلام» عن تنظيم النسخة الـ12 من ملتقى «قمرة السينمائي» افتراضياً بفعل الحرب، والتطورات الأخيرة التي تشهدها المنطقة، حيث سيواصل «برنامج الملتقى» تقديم «فرص التواصل»، و«الدعم الإرشادي»، لـ49 مشروعاً من 39 دولة خلال جلسات عبر الإنترنت، في الفترة من 27 مارس (آذار) الحالي، وحتى 8 أبريل (نيسان) المقبل. ويواصل «قمرة السينمائي» في هذه الدورة الاستثنائية، دعم صناع الأفلام الذين يخوضون تجاربهم الأولى أو الثانية، من خلال تقديم إرشاد خاص، وإتاحة الوصول إلى أهم خبراء الصناعة، والتطوير الإبداعي للمشاريع في مختلف مراحل الإنتاج. وتعكس المشروعات المشاركة في نسخة هذا العام تنوع الحكايات ما بين «السرديات الشخصية»، و«القضايا التاريخية والأساطير»،,https://aawsat.com/يوميات-الشرق/5254780-تنظيم-النسخة-الـ12-من-قمرة-السينمائي-بقطر-افتراضياً-بفعل-الحرب,Active,aawsat.com,الدليل يذكر أن نسخة الملتقى digital ستتم خلال الفترة من 27 مارس إلى 8 أبريل، مما يعني أنها تختلف عن الفترة المذكورة في الادعاء (12 إلى 17 مارس). هذا يشير إلى أن المعلومات الواردة في الادعاء غير دقيقة.,2,credible,source_102
تعتزم مؤسسة الدوحة تنظيم نسخة رقمية من ملتقى قمرة السينمائي خلال الفترة من 12 إلى 17 مارس المقبل.,"الدوحة- هيثم الأشقر:

كشفت مؤسسة الدوحة عن تنظيم نسخة جديدة من ملتقى قمرة السينمائي «أون لاين»، وذلك خلال الفترة من 12 إلى 17 مارس المقبل، حيث تسعى المؤسسة من خلال النسخة السابعة لهذا العام إلى مواصلة",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_102
العنوان الرئيسي للأخبار هو: حميدتي: الشباب السوداني أبهر العالم بسلمية ثورته,"الخاصة بموقع Google YouTube وسياسة الخصوصية قبل الموافقة. لعرض المحتوى، اختر ""موافقة وإكمال"" مظاهرات السودان: تصاعد الخلاف بين المعارضة والمجلس العسكري مظاهرات السودان: ما هو تحالف إعلان الحرية والتغيير وما هي مطالبه؟ منبرشات: صفحة فيسبوك التي ""يكرهها"" الرجال وحكومة السودان ومنذ تعين حميدتي نائباً للبرهان في المجلس العسكري، ثم عضواً في مجلس السيادة الانتقالي الذي يترأسه البرهان، كانت تقارير إعلامية تظهر بين الحين والآخر تتحدث عن وجود خلافات بين الرجلين. ورغم العديد من البيانات الصادرة عن المجلس للتأكيد على عدم وجود صراع، وتأكيد البرهان نفسه على أن القوات المسلحة (التي يشغل البرهان منصب قائدها العام) وقوات الدعم السريع (بزعامة حميدتي)",https://www.bbc.com/arabic/middleeast-65287119,Active,bbc.com,الادعاء يعتمد على تصريح من حميدتي حول سلمية ثورة الشباب السوداني. ومع ذلك، لا يوجد في الدليل أي معلومات تدعم هذا التصريح أو تنفيه بشكل مباشر. الدليل يتحدث عن خلافات محتملة بين البرهان وحميدتي ولكن ليس في سياق الشباب والثورة السلمية. لذا، من الصعب تأكيد صحة الادعاء بناءً على المعلومات المتاحة.,0,credible,source_108
العنوان الرئيسي للأخبار هو: حميدتي: الشباب السوداني أبهر العالم بسلمية ثورته,"الجريدة

فارس النور شاركت حميدتي لصدقه ولا الوم من ردموني

حميدتي:الشباب السوداني أبهر العالم بسلمية ثورته

شؤون المغتربين يكشف عن حوافز لجذب مدخراتهم

حريق يقضي على (51) منزلاً بالميرم في غرب كردفان
",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_108
قرر الرئيس التركي، رجب طيب أردوغان، فرض الإغلاق الشامل في البلاد اعتباراً من السابعاء من أبريل حتى الخامس من مايو.,"أعلن الرئيس التركي رجب طيب اردوغان فرض حالة الطوارئ في بلاده لثلاثة أشهر عقب محاولة الانقلاب الفاشلة التي وقعت يوم الجمعة الماضي. وأكد اردوغان، في خطاب للأمة نقله التلفزيون الرسمي، أن إعلان حالة الطوارئ ليس ""ضد الديمقراطية والحقوق والحريات بل جاءت من أجل حماية وتعزيز تلك القيم"". وتتيح حالة الطوارئ للرئيس التركي وحكومته بتجاوز البرلمان في إصدار قوانين جديدة وبتقليص الحقوق والحريات أو تعليقها عند الضرورة. <link type=""page""><caption> وبدأت حملة الحكومة التركية ""لتطهير مؤسسات الدولة""</caption><url href=""http://www.bbc.com/arabic/middleeast/2016/07/160720_turkey_purge_thousand_employees"" platform=""highweb""/></link> بعد فشل محاولة الانقلاب، في صفوف القوات المسلحة وقوات الأمن قبل أن تمتد إلى وزارات وقطاعات أخرى في الحكومة. وجاء إعلان اردوغان عقب",https://www.bbc.com/arabic/middleeast/2016/07/160720_turkey_erdogan_emergency_,Active,bbc.com,من الجدول المقدم، لا يوجد أي إشارة مباشرة تشير إلى أن الرئيس التركي رجب طيب أردوغان قرر فرض الإغلاق الشامل في البلاد من السابعاء من أبريل حتى الخامس من مايو. الدليل يتحدث فقط عن إعلان حالة الطوارئ لفترة محددة وتطهير المؤسسات الحكومية بعد المحاولة الفاشلة للانقلاب.,0,credible,source_57
قرر الرئيس التركي، رجب طيب أردوغان، فرض الإغلاق الشامل في البلاد اعتباراً من السابعاء من أبريل حتى الخامس من مايو.,قرر الرئيس التركي، رجب طيب أردوغان، الليلة الماضية، فرض الإغلاق الشامل في البلاد اعتباراً من السابعة مساء الخميس المقبل الموافق 29 نيسان/ أبريل الجاري، حتى الخامسة من صباح يوم الإثنين 17 أيار/ مايو ال,local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_57
وجود مواد ذرية وخطرة على الأراضي اللبنانية.,"""تنذكر ما تنعاد""، عبارة يرددها اللبنانيون في ذكرى الحرب الأهلية من كل عام. ""والفتنة تطلّ برأسها"" عبارة أخرى، يستخدمها اللبنانيون مع مرور كلّ أزمة أو حادث أمني يعيد إلى الأذهان تلك الحرب، حين تُقطع الطرقات وينتشر الجيش على خطوط التماس القديمة. تحتوي هذه الصفحة على محتوى من موقع Google YouTube. موافقتكم مطلوبة قبل عرض أي مواد لأنها قد تتضمن ملفات ارتباط (كوكيز) وغيرها من الأدوات التقنية. قد تفضلون الاطلاع على سياسة ملفات الارتباط الخاصة بموقع Google YouTube وسياسة الخصوصية قبل الموافقة. لعرض المحتوى، اختر ""موافقة وإكمال"" استمرت الحرب 15 عاماً بين عامي 1975 و1990. وشهدت انتهاكات جسيمة، من تهجير جماعي",https://www.bbc.com/arabic/articles/c6pm252qr78o,Active,bbc.com,الدليل المقدم يتناول ذكرى الحرب الأهلية اللبنانية ويوصي بالانتباه للأزمات المتكررة التي تذكر الناس بهذه الحقبة الصعبة. ومع ذلك، لا يشير الدليل بأي شكل إلى وجود مواد ذرائية أو خطرة على الأراضي اللبنانية في الوقت الحالي. الدليل يركز فقط على الذكرى والمواقف الأمنية العامة دون تقديم معلومات محددة حول موضوع الادعاء.,0,credible,source_39
وجود مواد ذرية وخطرة على الأراضي اللبنانية.,أصدر المجلس الأعلى للدفاع قراراً برفع إنهاء إلى مجلس الوزراء بتمديد التعبئة العامة لمدّة ستة أشهر، من الأول من نيسان المقبل وحتى نهاية أيلول. على أن يتم رفع هذه التوصية وغيرها من المقررات التي صدرت عن,local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_39
"في هذه المقالة، تم تقديم ملخص لأداء شركة Etihad Airlines في عام 2020 خلال أزمة كوفيد-19:

1. تراجع أداء قطاع الطيران بسبب الجائحة:
   - انخفاض حاد في عائدات المسافرين (من 4.8 مليار دولار إلى 1.2 مليار دولار)
   - زيادة بنسبة 66% في إيرادات الشحن
   - انخفاض في عدد المقاعد المتاحة لكل كيلومتر

2. تحسينات في العمليات:
   - خفض الكلفة التشغيلية بنسبة 39%
   - خفض النفقات العامة بنسبة 25%

3. مبادرات الصحة والسلامة:
   - إطلاق برنامج صحة سافر رائد على مستوى الصناعة
   - طلب إجراء فحوصات الأنف قبل السفر

4. الريادة في الاستدامة:
   - خفض انبعاثات ثاني أكسيد الكربون بنسبة 3%
   - استمرار التزامها بالاستدامة رغم الظروف الصعبة

5. الاستعداد لعودة النشاط:
   - تلقي التطعيم ضد كوفيد-19 لأطقم الطيارين وطاقم الضيافة
   - التركيز على مبادرات التعافي والتحوّل

6. التأكيد على القدرة على التعامل مع الأزمات:
   - الحفاظ على تصنيف السيولة عند درجة (A) رغم الضغوط المالية

هذه النتائج تظهر كيف تمكنت Etihad Airlines من الاستمرار والتكيف مع أزمة كوفيد-19، مع التركيز على السلامة والأمان والاستدامة.","هذه النقلة بشكل مفاجئ، حيث يصبح التنفس صعبا وتُصاب الرئتان بالتهاب. ويعود ذلك إلى أن النظام المناعي للجسم يحاول المقاومة فيتمادى في حربه على الفيروس ويحدث أضرارا جانبية في الجسم. يحتاج بعض المرضى للمكوث في المستشفى والحصول على أكسجين. تقول الطبيبة ساره جارفيس: ""قد يحتاج ضيق التنفس وقتا طويلا للتحسن... وليتغلب الجسم على الإصابة والالتهاب الذي تسبب به الفيروس"". وتضيف أن الشفاء التام قد يستغرق ما بين أسبوعين إلى ثمانية أسابيع، مع بقاء الإنهاك. تقدر منظمة الصحة العالمية أن واحدا من كل عشرين مريضا سيحتاج لقسم العناية الفائقة، وهذا قد يتضمن عمليات التخدير ووضع المريض على جهاز التنفس الصناعي. ويحتاج",https://www.bbc.com/arabic/science-and-tech-52337733,Active,bbc.com,الادعاء يقدم معلومات حول أداء شركة Etihad Airlines في عام 2020 خلال أزمة كوفيد-19، ولكن الدليل الذي تم تقديمها يتعلق بموقع الطبيعة والمضاعفات الصحية لفيروس كوفيد-19. لا يتوفر أي معلومات في هذا الدليل تتعلق بأداء الشركة أو استراتيجيات التعامل مع الجائحة.,0,credible,source_100
"في هذه المقالة، تم تقديم ملخص لأداء شركة Etihad Airlines في عام 2020 خلال أزمة كوفيد-19:

1. تراجع أداء قطاع الطيران بسبب الجائحة:
   - انخفاض حاد في عائدات المسافرين (من 4.8 مليار دولار إلى 1.2 مليار دولار)
   - زيادة بنسبة 66% في إيرادات الشحن
   - انخفاض في عدد المقاعد المتاحة لكل كيلومتر

2. تحسينات في العمليات:
   - خفض الكلفة التشغيلية بنسبة 39%
   - خفض النفقات العامة بنسبة 25%

3. مبادرات الصحة والسلامة:
   - إطلاق برنامج صحة سافر رائد على مستوى الصناعة
   - طلب إجراء فحوصات الأنف قبل السفر

4. الريادة في الاستدامة:
   - خفض انبعاثات ثاني أكسيد الكربون بنسبة 3%
   - استمرار التزامها بالاستدامة رغم الظروف الصعبة

5. الاستعداد لعودة النشاط:
   - تلقي التطعيم ضد كوفيد-19 لأطقم الطيارين وطاقم الضيافة
   - التركيز على مبادرات التعافي والتحوّل

6. التأكيد على القدرة على التعامل مع الأزمات:
   - الحفاظ على تصنيف السيولة عند درجة (A) رغم الضغوط المالية

هذه النتائج تظهر كيف تمكنت Etihad Airlines من الاستمرار والتكيف مع أزمة كوفيد-19، مع التركيز على السلامة والأمان والاستدامة.",2020 2019 عائدات المسافرين (مليار دولار أمريكي) 1.2 4.8 عائدات الشحن (مليار دولار أمريكي) 1.2 0.70 العائدات التشغيلية (مليار دولار أمريكي) 2.7 5.6 الأرباح قبل الفوائد والضرائب والاستهلاك والإطفاء (EBI,local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_100
قتيلان و59 جريح في 53 حادث مرور خلال الثلاثي الأول من 2021.,تم تسجيل 5874 حادث مرور على المستوى الوطني أدى إلى وفاة 670 شخصا وجرج 7747 آخر خلال الثلاثي الأول من سنة 2021، حسبما أعلنت عنه الاثنين المندوبية الوطنية للأمن في الطرق.,https://www.elhayatalarabiya.net/ar/خلال-الثلاثي-الأول-من-2021-تسجيل-أزيد-من-5-آ/,Broken/Blocked,elhayatalarabiya.net,الدليل يشير إلى أن هناك تسجيلات لكل الحوادث المرورية على المستوى الوطني خلال الثلاثي الأول من عام 2021. بينما ذكر الإدعاء وجود 53 حادث مرور فقط، وهو ما يبدو متناقضاً مع البيانات الرسمية التي تظهر سجلات أكثر من ذلك بكثير (5874 حادث). بالإضافة إلى ذلك، يختلف عدد القتلى والجرحى في الحادث الواحد بحسب الحالة الواحدة المذكورة. لذا، فإن الإدعاء غير دقيق.,2,credible,source_83
قتيلان و59 جريح في 53 حادث مرور خلال الثلاثي الأول من 2021.,"سجلت المصلحة الولائية للأمن العمومي لأمن بومرداس، خلال الثلاثي الأول لسنة 2021، 53 حادث مروري بإقليم الوسط الحضري.

وقد خلفت هذه الحوادث 59 جريح وقتيلين، حيث تم تحرير خلال هذه الفترة 4646 مخالفة مروري",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_83
لم يتم تسجيل نحو 5.5 مليون شخص من المهاجرين بمصر.,البحث عن ملاذ في مصر».على الجانب الآخر، بدت مسألة أعداد المهاجرين والمقيمين الأجانب في مصر، مادة لترويج الإحصائيات مجهولة المصدر، على نحو ما راج في منشور نشر بكثافة على مواقع التواصل الاجتماعي، زعم أن هناك «5.5 مليون سوري، و4.3 مليون سوداني، و3 ملايين فلسطيني، و2.2 مليون عراقي، و1.7 مليون سوداني» في مصر. ويرى الخبير بمركز «الأهرام للدراسات السياسية»، بشير عبد الفتاح أن ثمة «اختلافات بشأن معايير تعريف اللاجئ أو المهاجر بالنسبة للمنظمات الدولية مقابل الحكومات، وبالتالي يصعب وضع إحصاء دقيق مانع، لكن الإفادات من الجانبين ترسم لنا إطاراً بيانياً تصاعدياً يتواكب مع الاضطرابات في بعض دول الإقليم والجوار».وقال عبد الفتاح,https://aawsat.com/home/article/4038421/«لاجئون-أم-مقيمون؟»-جدل-حول-أعداد-الذين-تستضيفهم-مصر,Active,aawsat.com,الدليل يقدم نظرة عامة على التحديات في توثيق أعداد المهاجرين في مصر، ويذكر اختلافات في تعريف اللاجئ والمهاجر بين المنظمات الدولية والحكومات. ومع ذلك، لا يوفر أي بيانات ملموسة أو إحصائيات مؤكدة حول عدد المهاجرين المسجلين. على الرغم من وجود تقارير تشير إلى أعداد كبيرة من المهاجرين الأجانب في مصر، إلا أن هذه التقارير تكون غالباً غير مؤكدة أو غير دقيقة.,0,credible,source_86
لم يتم تسجيل نحو 5.5 مليون شخص من المهاجرين بمصر.,"• الأمم المتحدة للهجرة: مصر جاذبة للمهاجرين نظرا لاستقرارها مقارنة بدول أخرى

وجه وكيل لجنة حقوق الإنسان بمجلس النواب، أيمن أبو العلا، عددا من التساؤلات لرئيس البعثة الخاصة للمنظمة الدولية للهجرة، منه",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_86
واصلت أسعار النفط مكاسبها أمس بعد أن تمسك تحالف أوبك+ الذي يضم مُنتجين كبارًا بسياسة خفض الإنتاج.,واصلت أسعار النفط مكاسبها، اليوم الخميس، بعد أن تمسك تحالف أوبك+ الذي يضم منتجين كبارا بسياسة خفض الإنتاج، وفي الوقت الذي هبطت فيه مخزونات الخام في الولايات المتحدة لأدنى مستوياتها منذ مارس آذار من العام الماضي.,https://www.alarabiya.net/aswaq/oil-and-gas/2021/02/04/أسعار-النفط-النفط-يلامس-59-دولارا-بعد-ابقاء-أوبك-على-تخفيضات-الانتاج,Broken/Blocked,alarabiya.net,الادعاء يشير إلى أن أسعار النفط وضعت في الاعتبار القرار الذي اتخذه تحالف أوبك+ بشأن خفض الإنتاج، وهو الأمر الذي تدعمه الأخبار المقدمة في الدليل، حيث يتم ذكر قرار التمسك بسياسة الخفض نفسه. بالإضافة إلى ذلك، يشير الدليل أيضًا إلى انخفاض مخزونات النفط في الولايات المتحدة، مما قد يؤدي إلى زيادة الطلب على النفط وإمكانية زيادة الأسعار.,1,credible,source_102
واصلت أسعار النفط مكاسبها أمس بعد أن تمسك تحالف أوبك+ الذي يضم مُنتجين كبارًا بسياسة خفض الإنتاج.,"سنغافورة – (رويترز):

واصلت أسعار النفط مكاسبها أمس بعد أن تمسك تحالف أوبك+ الذي يضم مُنتجين كبارًا بسياسة خفض الإنتاج، وفي الوقت الذي هبطت فيه مخزونات الخام في الولايات المتحدة لأدنى مستوياتها منذ ما",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_102
"قطر للبترول توقع اتفاقية طويلة الأمد لتوريد 1,25 مليون طن سنويا من الغاز الطبيعي المسال إلى بنغلاديش.","وقّعت شركة قطر للبترول -المملوكة لدولة قطر- اتفاقية طويلة الأمد مع ""فيتول"" (Vitol) -أكبر شركة لتجارة النفط في العالم- تورد بموجبها قطر للبترول 1.25 مليون طن سنويا، من الغاز الطبيعي المسال لعملاء فيتول في بنغلاديش. وبموجب الاتفاقية، سيبدأ تسليم الغاز الطبيعي المسال في هذا العام، وهو ما يمثل تأكيدا على التزام دولة قطر المستمر بتلبية احتياجات عملائها المتزايدة إلى إمدادات موثوقة من الغاز الطبيعي المسال. وعبّر وزير الدولة لشؤون الطاقة، المهندس سعد بن شريدة الكعبي -العضو المنتدب، الرئيس التنفيذي لقطر للبترول- عن سعادة شركته بالتوقيع على هذه الاتفاقية مع فيتول، وقال ""نتطلع إلى بدء عمليات الإمداد للمساهمة في تلبية احتياجات",https://www.aljazeera.net/ebusiness/2021/2/22/قطر-للبترول-توقع-اتفاقية-لتوريد-1-25,Active,aljazeera.net,الدليل يتحدث عن اتفاقية طويلة الأمد بين شركة قطر للبترول وفيتول لتوريد الغاز الطبيعي المسال، ولكن يتم تجنب ذكر البلد المستلم بشكل دقيق. على الرغم من أن الدليل يشير إلى وجود عملاء في بنغلاديش ضمن هذه الاتفاقية، إلا أنه لا يذكر确切翻译如下： ,0,credible,source_102
"قطر للبترول توقع اتفاقية طويلة الأمد لتوريد 1,25 مليون طن سنويا من الغاز الطبيعي المسال إلى بنغلاديش.","

الدوحة – قنا:

وقعت قطر للبترول اتفاقية طويلة الأمد مع شركة /فيتول/ تورد بموجبها 1,25 مليون طن سنويا، من الغاز الطبيعي المسال لعملاء /فيتول/ في بنغلاديش.

وبموجب الاتفاقية، سيبدأ تسليم الغاز الطبيعي",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_102
"الملك ""بيبي"" في معركة يائسة لإنقاذ عرشه.",منذ عودته للسلطة في إسرائيل نهاية العام 2022 معتمدًا على تحالف من الأحزاب الدينية التي تمثل اليمين المتطرف، بدا بنيامين نتنياهو وكأنه يسير فوق حافة سكين.,https://www.alarabiya.net/arab-and-world/gulf/views/2025/05/12/هل-بدا-الملك-بيبي-اكل-نفسه-,Broken/Blocked,alarabiya.net,"الادعاء يتحدث عن الملك ""بيبي""، ولكن الدليل يشير إلى بنيامين نتنياهو، رئيس وزراء إسرائيل. هذه شخصيات مختلفتان. بالإضافة إلى ذلك، لا يوجد في الدليل أي إشارة صريحة إلى معركة يائسة لإنقاذ عرشه.",0,credible,source_117
"الملك ""بيبي"" في معركة يائسة لإنقاذ عرشه.",من بين أبرز المواضيع التي تناولتها الصحف اليوم ،الوضع السياسي في إسرائيل ومعركة بنيامين نتنياهو ضد إئتلاف لبيد ، إضافة إلى الشأن الإيراني ،وموضوع فيروس كورونا الذي عاد إلى الواجهة بتداعياته الاقتصادية,local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_117
مشروع الدلتا الجديدة يحقق طفرة في الإنتاج.,"""مشروع الدلتا الجديدة، أحدث مشروع قومي للزراعة في مصر، وهدفه الرئيسي سد جزء كبير من الفجوة الغذائية في البلاد، لكن المساحة التي تصل إلى 2.2 مليون فدان، تحتاج إلى كمية كبيرة من المياه، وهذا تحد ضخم أمام الحكومة"".",https://www.skynewsarabia.com/technology/1603894-مصر-تشق-أكبر-نهر-اصطناعي-سيؤمن-غذاء-المصريين؟,Broken/Blocked,skynewsarabia.com,الدليل يشير إلى أن مشروع الدلتا الجديدة هدفه الرئيسي هو سد الفجوة الغذائية في مصر، ويرتبط ذلك بشكل مباشر بالزراعة. ومع ذلك، لم يتم تقديم أي معلومات حول الإنتاج أو النتائج العملية لمشروع الدلتا الجديدة في الدليل المقدم. ,0,credible,source_86
مشروع الدلتا الجديدة يحقق طفرة في الإنتاج.,"قال الدكتور محمد القرش، المتحدث باسم وزارة الزراعة واستصلاح الأراضي، إن مشروع الدلتا الجديدة قومي وحيوي وهام جدًا، لافتًا إلى أنه يؤثر على التنمية الزراعية ويحقق طفرة في الإنتاج بمصر.



وأضاف القرش، ",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_86
مقاتلات عراقية تقصف وكراً لداعش.,"نفذت طائرات ""إف 16"" العراقية، فجر السبت، ضربة جوية استهدفت خلالها وكرا لعناصر داعش قتل فيها جميع الإرهابيين وجرى تدمير أسلحة ومعدات وأجهزة اتصالات كانت بداخله في إحدى المناطق شرقي محافظة ...",https://www.skynewsarabia.com/middle-east/1815496-قصف-عراقي-استهدف-وكرا-لداعش-قتلى-وتدمير-أسلحة-ومعدات,Broken/Blocked,skynewsarabia.com,الدليل يقدم تفاصيل عن ضربة جوية أطلقتها طائرات إف 16 العراقية ضد وكرا لعناصر داعش في منطقة شرقي محافظة ما. الدليل يصف الهجوم ونتيجته بشكل واضح، مما يدعم صحة الادعاء.,1,credible,source_77
مقاتلات عراقية تقصف وكراً لداعش.,"أفاد بيان لخلية الإعلام الأمني بالعراق، الثلاثاء، بأن القوات الأمنية قصفت مواقع لتنظيم داعش الإرهابي في مناطق تابعة لمحافظة صلاح الدين، شمال بغداد.



وقالت الخلية في البيان: ""بناء على معلومات استخبار",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_77
إصابة 20 شخصا في حريق مصفاة نفط بإندونيسيا.,حريق يلتهم مصفاة نفط باندونيسيا. عاصفة رعدية قد تكون السبب.,https://www.alarabiya.net/aswaq/oil-and-gas/2021/03/29/النفط-انفجار-ضخم-وألسنة-لهب-الى-السماء-حريق-يلتهم-مصفاة-نفط-باندونيسيا-,Broken/Blocked,alarabiya.net,الدليل يقدم معلومات حول حريق في مصفاة نفط بالindonesia، لكنه لا يشير إلى عدد الأشخاص المصابين. كما أنه يحتمل أن يكون سبب الحريق هو العاصفة الرعدية. لذا، فإن المعلومات غير كافية لتثبيت أو نفي الادعاء.,0,credible,source_23
إصابة 20 شخصا في حريق مصفاة نفط بإندونيسيا.,"كتب : وكالات

تسبب انفجار في اندلاع حريق هائل في مصفاة لتكرير النفط في مقاطعة ويست جاوة بإندونيسيا اليوم الاثنين، مما أسفر عن إصابة 20 شخصًا، ودفع إلى إجلاء ما يقرب من ألف من السكان، ولم يتضح على الفو",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_23
نتائج قمة العلا تؤسس لعهد جديد من علاقات الأخوة والتعاون في مجلس التعاون لدول الخليج العربية والوطن العربي كافة.,توالت ردود الفعل العربية المرحبة بنتائج قمة العلا في السعودية، التي أنهت الثلاثاء الأزمة التي نشبت منذ أكثر من ثلاث سنوات في العلاقات بين السعودية والإمارات والبحرين ومصر من جهة ودولة قطر من جهة أخرى.…,https://www.france24.com/ar/الشرق-الأوسط/20210106-المصالحة-القطرية-السعودية-ترحيب-عربي-بنتائج-قمة-العلا-لرأب-صدع-البيت-الخليجي,Broken/Blocked,france24.com,"الدليل يشير إلى توافر ردود فعل عربية إيجابية تجاه نتائج قمة العلا، مما يمكن أن يؤدي إلى تحسين العلاقات بين الدول الأعضاء في مجلس التعاون الخليجي والدول العربية الأخرى. ومع ذلك، لا يوجد دليل صريح على التأكيد بأن هذا سيسفر بالضرورة عن ""عهد جديد من علاقات الأخوة والتعاون"".",0,credible,source_101
نتائج قمة العلا تؤسس لعهد جديد من علاقات الأخوة والتعاون في مجلس التعاون لدول الخليج العربية والوطن العربي كافة.,"اعتماد مشروع خطة أمنية وأخرى للتوعية والوقاية من الجريمة

إنشاء فريق لرصد وتبادل المعلومات حول التهديدات الإرهابية

أصدر مجلس وزراء الداخلية العرب في ختام دورته الثامنة والثلاثين إعلانا تضمن ارتياحه ا",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_101
الجنيه سيصمد بشكل أفضل من معظم عملات الأسواق الناشئة الأخرى في حالة تشديد السياسة النقدية الأمريكية.,ارتفع الجنيه المصري مسجلا أعلى مستوى في عامين في تعاملات متأخرة من أمس الخميس، مخالفا بذلك الاتجاه النزولي السائد بين عملات الأسواق الناشئة بدعم التدفقات.,https://www.alarabiya.net/aswaq/financial-markets/2019/05/24/الجنيه-المصري-أفضل-عملات-الأسواق-الناشئة-مقابل-الدولار,Broken/Blocked,alarabiya.net,الدليل يوضح أن الجنيه المصري قد ارتفع بشكل ملحوظ، مما يتناقض مع الاتجاه النزولي السائد بين معظم عملات الأسواق الناشئة الأخرى. هذا الأداء الإيجابي للجنيه المصري قد يكون مؤشراً على قوته في حالة تشديد السياسة النقدية الأمريكية، لكن الدليل الحالي لا يقدم تفسيراً كاملاً أو مقارنة طويلة المدى لتوقع مستقبلي أقوى لعملة الجنيه.,0,credible,source_23
الجنيه سيصمد بشكل أفضل من معظم عملات الأسواق الناشئة الأخرى في حالة تشديد السياسة النقدية الأمريكية.,"كتب : متابعات

الجنيه سيصمد بشكل أفضل من معظم عملات الأسواق الناشئة الأخرى في حالة تشديد السياسة النقدية من جانب مجلس الاحتياطي الفيدرالي، وذلك نظرا لأسعار الفائدة الحقيقية الجذابة، وفق ما نقلته بلومب",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_23
حفتر يحاول التعطيل جلسة منح الثقة للحكومة الليبية.,وفي حال فشل جلسة منح الثقة، ستكون لدى رئيس الوزراء المكلف فرصة ثانية لينظر البرلمان في حكومته في 19 آذار/مارس الحالي وفقا لخارطة الطريق التي اتفقت بشأنها الأطراف الليبية في جنيف الشهر الماضي.,https://www.france24.com/ar/الأخبار-المغاربية/20210309-ليبيا-البرلمان-يواصل-جلساته-للتصويت-على-حكومة-دبيبة,Broken/Blocked,france24.com,من الجدول المقدم، يبدو أن هناك خلافات بين القوات الموالية لحفتر والحكومة الليبية. حيث أنه وفقًا لخارطة الطريق التي تم التوافق عليها في جنيف الشهر الماضي، فإن رئيس الوزراء المكلف سيكون لديه فرصة ثانية للجلسة إذا فشلت الأولى. هذا يشير إلى أن هناك محاولة من جهات معينة لتعطيل هذه الجلسة، وقد يكون حفتر أحد هذه الجهات.,1,credible,source_115
حفتر يحاول التعطيل جلسة منح الثقة للحكومة الليبية.,تترقب الأوساط الليبية والدولية جلسة البرلمان الليبي التي ستعقد في مدينة سرت خصيصا لمنح الثقة للحكومة الليبية الاثنين، وذلك في ظل خشية من محاولات إفشال الجلسة بعد الكشف عن تحركات يقوم بها اللواء المتقا,local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_115
